,Date,kW/h price daily mean,kW/h price daily std,Hydraulic availability,Thermal availability,Solar availability,Flow contribution (m3/s),Energy contribution (gWh),Daily volume (Mm3),Volume (Mm3),Daily useful volume (gWh),Energy volume (gWh),Volume shedding (m3),Energy shedding (gWh)
3463,2009-06-25,139.0807726666667,6.668033742622622,180.43683000000016,64.08599999999997,,1764.4860000000003,159.5758,4565.481999999999,6318.032000000001,9396.7871905,10464.098800000002,5552.8640000000005,2.512850824
3464,2009-06-26,134.95618933333336,20.720586676826613,183.35186000000004,64.17784999999999,,1266.611,103.81420000000003,4511.942,6264.492,9355.484683499999,10422.796400000001,2743.2,1.2101321999999999
3465,2009-06-27,130.434606,7.440987961811662,184.54625000000007,65.44941999999998,,1629.5539999999996,120.10160000000002,4518.8150000000005,6271.365,9349.830466399999,10417.1422,168.394,0.07428514204999999
3466,2009-06-28,124.5250226666667,3.086152334523368,182.97290999999998,65.17739999999993,,1698.3709999999996,120.77940000000001,4546.119,6298.669000000002,9362.7496837,10430.061300000001,,
3467,2009-06-29,114.53918933333335,18.00945806264434,184.48350000000013,67.00899999999993,,1884.2659999999998,155.58529999999996,4586.915,6339.465,9406.647332499999,10473.959,,
3468,2009-06-30,118.18998100000003,15.867563529886999,185.54517000000013,66.06399999999994,,1946.8269999999993,198.5239,4618.616,6371.166,9463.8094726,10531.1211,,
3469,2009-07-01,127.82315033333334,5.034558717151813,181.69619000000012,66.79359999999993,,1748.6439999999996,219.72089999999997,4610.529,6363.079,9555.0349717,10622.3469,117.62,0.5926871800000001
3470,2009-07-02,127.58798366666667,4.023401248556259,183.51799999999994,67.8923799999999,,2955.5889999999995,237.89880000000002,4723.851999999999,6476.402,9652.1333178,10719.4454,157.4,0.7931386
3471,2009-07-03,124.76135866666668,4.4353242778037485,188.47298000000012,67.50849999999993,,2652.851,213.871,4825.722,6578.271999999999,9729.003410700001,10796.315300000002,58.17,0.29311863
3472,2009-07-04,116.594692,10.914191001507687,190.23873000000012,68.41356999999995,,2620.8680000000004,216.1219,4926.901,6679.450999999999,9807.4776509,10874.7894,,
3473,2009-07-05,109.07135866666664,10.034295827491997,191.30105999999995,69.03566999999997,,2119.463,152.71159999999995,5001.384999999999,6753.935000000001,9844.5565669,10911.868400000003,,
3474,2009-07-06,120.69885866666664,9.865375515304585,192.42350000000025,70.00199999999998,,1831.9049999999997,147.99480000000003,4992.420999999999,6744.971,9856.2159138,10923.527600000001,,
3475,2009-07-07,123.05219199999999,5.867363862558057,186.70874999999972,70.80866999999998,,1684.8339999999998,129.33300000000003,4969.847,6722.397000000001,9850.197095799998,10917.5087,,
3476,2009-07-08,119.11344200000002,10.436838107104725,187.4285300000002,70.57099999999997,,2324.2219999999993,254.9294,4988.191,6740.740999999998,9970.645565800001,11037.9573,,
3477,2009-07-09,114.02748366666668,10.169551868965504,186.83707999999996,70.57000000000001,,3156.2390000000005,233.31489999999997,5097.679,6850.229,10071.0370929,11138.3491,,
3478,2009-07-10,84.81719199999995,36.79955850987536,186.7920200000001,70.54599999999999,,2849.7029999999995,283.613,5162.504000000001,6915.054,10214.273931500002,11281.5857,,
3479,2009-07-11,110.422942,11.818075964386075,187.85683999999983,65.03828999999998,,2356.9829999999997,275.83680000000004,5179.316999999999,6931.867,10351.9305912,11419.2423,,
3480,2009-07-12,111.51135866666664,6.940612469319644,189.99933,61.38552999999999,,1956.168,164.3578,5186.171,6938.7210000000005,10403.9993977,11471.310999999998,,
3481,2009-07-13,121.63898366666665,8.724446256149974,186.82307999999986,61.682260000000014,,1463.052,131.3187,5148.361000000001,6900.911,10401.1791661,11468.4909,,
3482,2009-07-14,119.98135866666664,11.391293268055232,184.30897000000002,68.49099999999997,,1660.158,172.88139999999999,5151.3150000000005,6903.865000000001,10443.4581531,11510.77,,
3483,2009-07-15,124.44019199999997,11.1430105720445,182.16998999999998,69.047,,2374.2149999999992,162.00710000000004,5209.233,6961.783,10470.464809000003,11537.776300000001,,
3484,2009-07-16,122.17802533333334,2.714360628801631,179.93268000000015,69.033,,1620.173,134.91680000000002,5163.442999999999,6915.993,10465.930242300003,11533.2421,,
3485,2009-07-17,127.05223366666668,11.910486512091362,184.4426399999998,66.62699999999997,,1624.3439999999998,129.7367,5163.688,6916.237999999999,10465.608376899998,11532.920200000002,,
3486,2009-07-18,122.13635866666668,6.8946524121276775,187.95003000000014,66.49087999999996,,1508.8360000000002,126.86510000000003,5127.03,6879.580000000001,10472.179589300002,11539.491300000002,,
3487,2009-07-19,132.09469200000007,11.997508799384338,181.70660000000015,68.77944999999997,,2052.3399999999997,128.428,5187.058000000001,6939.608,10494.742235599999,11562.053899999997,76.982,0.033959753940000004
3488,2009-07-20,131.53894200000005,13.507696724621413,192.13950000000006,68.81199999999995,,2169.975,125.0182,5213.449999999999,6966.000000000001,10530.7477763,11598.0596,715.565,0.31566354902
3489,2009-07-21,158.99402533333338,23.71016345398093,178.41721999999976,68.15599999999996,,1842.112,131.881,5211.693999999999,6964.244,10543.3136956,11610.6255,2201.444,1.52955279205
3490,2009-07-22,133.95960866666672,17.744838499802093,173.5528999999997,66.96175999999996,,1611.2510000000002,122.3527,5167.575,6920.125,10552.481669899998,11619.7936,1331.28,1.5042768
3491,2009-07-23,125.28002533333334,9.077403682947482,183.09446000000003,66.51998999999994,,1538.0210000000002,122.6951,5130.59,6883.140000000001,10559.5060802,11626.8181,1700.317,1.70054580102
3492,2009-07-24,124.70340033333338,8.843695211742007,187.5396200000001,64.69523999999996,,1793.847,164.8379,5114.677000000001,6867.227000000002,10583.428798800001,11650.7407,3550.115,1.7676180390199998
3493,2009-07-25,125.0132336666667,5.818915571906081,173.74746000000016,58.97741999999995,,1498.3069999999996,110.02950000000003,5057.726,6810.276,10566.4260056,11633.737800000003,1874.016,0.8267013360000001
3494,2009-07-26,126.18694199999999,5.1137332423497694,183.30574999999988,61.68070999999993,,1390.8830000000003,121.0582,5034.029,6786.579000000001,10574.783618500003,11642.095299999997,89.424,0.039448404
3495,2009-07-27,146.97006700000006,19.90364624408762,187.68344999999997,60.08599999999993,,1343.188,130.2895,4986.250999999999,6738.801,10561.8691512,11629.180899999998,,
3496,2009-07-28,154.26135866666675,9.975967498755793,187.19416999999984,56.56599999999995,,1980.221,126.25,4995.905,6748.455,10549.3516694,11616.663399999998,,
3497,2009-07-29,137.31906700000008,12.232224255815678,184.63002999999995,58.39259,,1712.818,136.96989999999997,5001.9529999999995,6754.503,10561.882711400001,11629.1946,,
3498,2009-07-30,136.20956700000005,11.698528455629539,185.97882999999996,58.346,,1671.2140000000002,129.5455,5002.464,6755.013999999999,10565.514348300001,11632.826,,
3499,2009-07-31,131.5829836666667,6.922558125302273,188.91308999999995,62.371620000000014,,1773.013,147.89210000000006,4997.1990000000005,6749.749,10584.996732300002,11652.3086,,
3500,2009-08-01,134.2511403333333,11.403164288788506,189.67908000000008,61.183329999999984,,1621.2700000000002,134.1917,4994.601,6747.151000000001,10597.6512732,11664.9631,,
3501,2009-08-02,125.84230699999996,9.9532580639184,188.87274999999994,65.009,,1366.6159999999998,112.75229999999999,4977.521,6730.071000000001,10602.35593,11669.6677,,
3502,2009-08-03,128.88997366666663,10.082460839483101,188.6181100000001,64.15273,,1247.1749999999997,97.84589999999999,4943.218,6695.768,10571.4176685,11638.7297,,
3503,2009-08-04,146.4429736666666,17.561941763163702,186.2875799999998,62.644170000000024,,1560.8950000000002,119.10480000000001,4960.097,6712.647,10568.320344400003,11635.632099999999,,
3504,2009-08-05,145.7389736666666,12.118580468838365,178.70681999999954,61.82383,,1987.385,151.98940000000002,5004.141,6756.691,10589.376108300003,11656.6878,,
3505,2009-08-06,131.11480699999996,6.682299220295764,180.48880999999966,59.89400000000002,,2330.8349999999996,215.30890000000002,5082.982,6835.531999999999,10670.169275400001,11737.480999999998,,
3506,2009-08-07,138.0219736666666,10.932516980834372,187.84883000000002,50.032770000000006,,2881.4249999999993,210.3892,5205.253000000001,6957.803,10754.390373599997,11821.702099999999,,
3507,2009-08-08,135.60530699999995,4.552233087942279,189.91574999999992,59.92450000000003,,2025.1320000000003,197.15600000000003,5249.492,7002.0419999999995,10836.123607599999,11903.4354,,
3508,2009-08-09,122.33435333333333,12.237451434967511,192.17582999999993,63.62800000000001,,2040.285,200.4985,5284.032,7036.582000000001,10909.3839044,11976.695700000002,,
3509,2009-08-10,117.21389033333332,30.501434855652672,191.44102999999998,62.15085000000001,,1727.016,138.5171,5273.0740000000005,7025.624,10913.035984700002,11980.347699999998,,
3510,2009-08-11,125.57622366666664,13.123887086287473,188.60772000000006,64.30407000000001,,1800.673,153.16989999999998,5251.254999999999,7003.805,10932.9953078,12000.307,,
3511,2009-08-12,132.6723173333334,17.4582160592374,180.86736000000005,63.818169999999974,,1855.4929999999997,131.34839999999994,5232.405,6984.955000000001,10929.1593092,11996.4712,,
3512,2009-08-13,124.47251533333328,9.144086803855783,186.31158000000002,63.80899999999996,,1761.8980000000001,167.1599,5235.472999999999,6988.023000000001,10968.3975752,12035.7092,,
3513,2009-08-14,123.48030699999997,2.996374621032088,186.34881000000001,63.321799999999975,,2291.628,275.0755000000001,5272.743,7025.293000000001,11088.446930799999,12155.758800000001,,
3514,2009-08-15,119.1050153333333,2.1454197416248406,187.1412499999999,63.74594999999993,,1563.741,151.5331,5298.633000000001,7051.183,11110.3156008,12177.627300000004,,
3515,2009-08-16,119.7052236666666,0.4749243341716719,189.8279199999999,65.13799999999998,,1364.5479999999998,129.27420000000004,5313.027999999998,7065.577999999998,11132.090973100003,12199.402699999999,170.86,0.8609635400000001
3516,2009-08-17,114.6886403333333,2.2161299339294,192.49949999999976,63.36369999999995,,1558.6480000000001,175.00599999999997,5303.539999999999,7056.089999999999,11172.5179531,12239.8298,292.9,1.4759231000000002
3517,2009-08-18,118.295023,2.6841734903107417,192.29720999999967,65.12799999999997,,1366.8580000000002,123.20249999999999,5279.296,7031.846,11160.889288999999,12228.201000000003,275.7,1.3892523
3518,2009-08-19,115.29989033333334,1.0548607436082702,189.2826799999996,65.12299999999995,,1339.7589999999998,109.74330000000002,5272.238,7024.788,11129.110097399998,12196.4218,194.4,0.9795815999999999
3519,2009-08-20,117.61772366666666,3.3136988516927968,188.29091999999986,63.60099999999994,,1426.997,113.60359999999999,5278.806,7031.356000000001,11113.3895745,12180.701299999999,192.45,0.96975555
3520,2009-08-21,133.32980700000002,21.172655948488,182.10766999999998,63.51733999999993,,1729.3760000000002,172.29840000000002,5290.243,7044.813,11158.669880299998,12226.2202,1473.984,1.4447420639999997
3521,2009-08-22,118.70526533333332,2.159921002564407,187.79525000000015,63.58399999999994,,1426.6139999999998,120.31579999999998,5294.3589999999995,7048.929,11155.934561,12223.485100000002,3122.208,2.635302168
3522,2009-08-23,120.47197366666664,10.190443804247996,188.31935000000001,63.27334999999993,,1327.53,117.30469999999997,5293.197,7047.767,11162.716700500001,12230.2673,3211.752,3.003090792
3523,2009-08-24,128.0636403333333,11.958321340194972,172.77807999999987,64.96349999999997,,1367.935,94.9796,5288.774,7043.344000000001,11126.241625,12193.791900000002,3232.778,2.5433843449399998
3524,2009-08-25,152.0065999999999,42.46161331778285,164.7054199999999,64.30319999999993,,1497.6430000000003,117.20150000000002,5284.579000000001,7039.149000000001,11111.700625600002,12179.251100000001,5333.789,2.6674354530199995
3525,2009-08-26,124.10280699999996,23.02024211144543,162.31405000000012,64.96399999999993,,1368.131,108.1561,5269.306,7023.875999999999,11088.4365444,12155.987000000003,4823.712,2.127926952
3526,2009-08-27,122.19724700000002,20.15195829787097,167.31190999999995,63.232019999999935,,1441.2959999999996,88.5316,5261.107999999999,7015.678000000002,11045.711855,12113.2623,2215.123,0.9771768989699999
3527,2009-08-28,123.91164033333332,20.305648474525864,170.68500000000003,64.78156999999995,,1279.175,96.33070000000001,5255.771,7010.341,11014.8990701,12082.4495,1907.194,0.8413374420499999
3528,2009-08-29,140.76739033333328,33.716827849808524,169.1307200000001,64.20164999999999,,1441.349,107.45080000000003,5253.791,7008.360999999999,11010.483413700002,12078.0339,1589.146,0.7010341007199999
3529,2009-08-30,129.76280699999995,31.576082548828555,168.97988,63.58012999999996,,1958.8470000000002,187.1487,5313.072,7067.641999999998,11107.785471500001,12175.336100000002,46.482,0.02050501783
3530,2009-08-31,128.63784866666663,49.0546581008317,170.53141000000014,61.75804999999998,,1519.3760000000002,157.42880000000002,5310.906999999999,7065.476999999999,11136.083541999998,12203.633900000003,,
3531,2009-09-01,125.240967,24.044104861532933,168.0524999999999,62.403999999999975,,1359.6300000000003,99.8652,5291.8640000000005,7046.433999999999,11108.4924095,12176.043,,
3532,2009-09-02,139.9632586666667,39.42740072000983,169.60747999999978,61.29101999999997,,1053.031,83.82269999999997,5241.581999999999,6996.151999999998,11063.617160699998,12131.167700000002,,
3533,2009-09-03,125.4632586666667,9.443098085335944,169.2988199999998,61.16174999999998,,1016.484,84.26930000000002,5191.289,6945.858999999999,11018.719772700002,12086.2701,,
3534,2009-09-04,122.75492533333336,7.895605088284558,171.24423999999988,66.08025999999994,,1596.8740000000003,127.66620000000002,5203.413,6957.983,11022.7214604,12090.271800000002,,
3535,2009-09-05,120.52575866666668,2.2383960030938796,175.6576699999999,64.75491999999997,,1611.347,114.03829999999999,5230.598,6985.168,11015.6605737,12083.211099999999,,
3536,2009-09-06,127.0257586666667,11.903122687351624,174.43256999999988,67.06133999999993,,1348.8000000000004,83.37489999999998,5229.158,6983.728,10989.133252500002,12056.683700000003,,
3537,2009-09-07,150.64372766666662,21.225619857117017,176.14979999999974,65.2039899999999,,1019.763,77.7695,5172.062,6926.632,10934.4835699,12002.034,,
3538,2009-09-08,134.2757586666667,15.874219711509461,178.45863999999986,68.6378799999999,,959.6479999999999,86.96679999999999,5095.849,6850.418999999999,10889.803625300003,11957.353900000002,,
3539,2009-09-09,175.4632586666667,39.05233853340329,177.9245499999999,67.27964999999986,,1177.4900000000002,109.1344,5047.203,6801.773000000001,10875.735920500001,11943.286499999998,,
