Date,Aportes Caudal m3/s_ANTIOQUIA,Aportes Energía kWh_ANTIOQUIA,Aportes %_ANTIOQUIA,Aportes Caudal m3/s_CENTRO,Aportes Energía kWh_CENTRO,Aportes %_CENTRO,Aportes Caudal m3/s_ORIENTE,Aportes Energía kWh_ORIENTE,Aportes %_ORIENTE,Aportes Caudal m3/s_RIOS ESTIMADOS,Aportes Energía kWh_RIOS ESTIMADOS,Aportes %_RIOS ESTIMADOS,Aportes Caudal m3/s_VALLE,Aportes Energía kWh_VALLE,Aportes %_VALLE,Aportes Caudal m3/s_CARIBE,Aportes Energía kWh_CARIBE,Aportes %_CARIBE,Caudal,Energia
2020-05-12,197.31500000000003,31498600.0,32.608197629889496,206.72,9019000.0,78.69372440061801,571.582,29098100.0,55.27661359091752,107.35,24724300.0,48.90246472016819,0.0,1648100.0,43.4854881266491,188.27,2082100.0,44.3944562899787,1271.2369999999999,98070200.0
2020-05-13,248.533,39608700.0,39.415850661492335,161.95,6877800.0,69.46113011364108,963.289,37184100.0,90.31441681583,242.082,50140800.0,92.40133054265821,0.0,2285000.0,60.29023746701851,179.02,1979800.0,42.2132196162047,1794.8739999999998,138076200.0
2020-05-14,317.166,47491100.0,58.703822939014884,190.45,7948900.0,72.69646953001208,732.135,28630100.0,66.23179626389842,114.28999999999999,24846400.0,44.9602056054869,0.0,1643900.0,43.3746701846966,177.4,1961900.0,41.8315565031983,1531.441,112522300.0
2020-05-15,269.68399999999997,40540500.0,50.90221222071022,161.75,6331200.0,59.441956573511696,595.9040000000001,25322900.0,48.771416657505085,102.92099999999999,23015100.0,45.04694345960987,0.0,1655900.0,43.691292875989404,211.84,2342800.0,49.953091684435,1342.0990000000002,99208400.0
2020-05-16,572.645,83463800.0,100.21907514642275,134.73999999999998,4947900.0,46.9855169249444,907.1,32529300.0,50.05535088356542,160.185,38564700.0,89.93896501627067,0.0,1993300.0,52.5936675461741,178.25,1971300.0,42.0319829424307,1952.92,163470300.0
2020-05-17,221.89999999999998,36915400.0,39.5481524787645,171.32999999999998,6967800.0,76.44052793010978,766.032,29498300.0,59.09080347670765,215.479,47846600.0,98.76756517230042,0.0,2080000.0,54.8812664907652,416.48,4605900.0,98.2068230277185,1791.221,127914000.0
2020-05-18,264.702,47631900.0,61.281716813175095,227.03999999999996,9275500.0,94.06983676710747,1163.8120000000001,41168800.0,80.10232928730449,174.81799999999998,40821200.0,91.71040915801403,0.0,2490200.0,65.70448548812669,276.23,3054900.0,65.136460554371,2106.602,144442500.0
2020-05-19,423.68,69067400.0,80.05885278226634,234.17999999999998,10118700.0,91.52055983179892,823.14,34845700.0,75.13592521274802,267.154,61348100.0,113.73406208116523,0.0,3001300.0,79.1899736147757,399.41,4417200.0,94.183368869936,2147.564,182798400.0
2020-05-20,231.06999999999996,38957900.0,42.61711850905771,178.02,7245900.0,66.2746704486211,624.197,25905900.0,61.66853498646934,190.474,50750700.0,146.57926595932213,0.0,2147100.0,56.6517150395778,365.72,4044600.0,86.2388059701493,1589.481,129052100.0
2020-05-21,224.825,37021700.0,41.35768862364101,153.53,6192800.0,61.45542217156528,536.2090000000001,24221600.0,48.5997091509862,126.548,29201200.0,58.73759855425763,0.0,1707800.0,45.060686015831095,296.01,3273600.0,69.7995735607676,1337.122,101618700.0
2020-05-22,207.875,33515000.0,38.260920284972514,156.81,5905400.0,67.16545956568243,641.992,24303500.0,48.03835337580481,118.42999999999999,27396700.0,55.337069318154334,0.0,1620600.0,42.759894459102895,284.43,3145600.0,67.0703624733475,1409.537,95886800.0
2020-05-23,202.122,34100200.0,34.998838281916875,156.74,5633400.0,60.00734451173366,578.543,26193100.0,42.85136392481731,116.732,26501800.0,55.78673863051813,0.0,1632200.0,43.065963060686,298.18,3297600.0,70.3113006396588,1352.317,97358300.0
2020-05-24,219.743,35440600.0,37.819231115107854,142.59,5506100.0,57.263700013382774,480.285,20237900.0,39.0690385606808,99.68,22320700.0,42.30441436328373,0.0,1465100.0,38.6569920844327,249.6,2760400.0,58.8571428571429,1191.898,87730800.0
2020-05-25,175.04299999999998,28789400.0,32.62188066957667,144.88,5303600.0,64.8217308580601,913.154,38470400.0,59.613883213135765,151.835,32628600.0,67.50027693595183,0.0,1892800.0,49.9419525065963,276.4,3056800.0,65.17697228144989,1661.312,110141600.0
